timestamp,imu_z,motion_score,decision,motor_speed,confidence,ground_truth
12:49:24.273,1.0072,0.0,NORMAL,100,2.7,
12:49:24.428,1.0041,0.0,NORMAL,100,1.4,
12:49:24.569,1.0081,0.0,NORMAL,100,0.9,
12:49:24.715,1.0155,0.0,NORMAL,100,0.6,
12:49:24.887,1.0085,0.0,NORMAL,100,0.4,
12:49:25.035,1.0108,0.0,NORMAL,100,0.3,
12:49:25.183,1.0025,0.0,NORMAL,100,0.2,
12:49:25.341,1.0102,0.0,NORMAL,100,0.2,
12:49:25.477,1.015,0.0,NORMAL,100,0.2,
12:49:25.594,1.0085,0.0,NORMAL,100,0.1,
12:49:25.728,1.0061,0.0,NORMAL,100,0.1,
12:49:25.856,1.0168,0.0,NORMAL,100,0.1,
12:49:25.985,1.0129,0.0,NORMAL,100,0.1,
12:49:26.136,1.0137,0.0,NORMAL,100,20.7,
12:49:26.276,1.0087,0.0,NORMAL,100,20.8,
12:49:26.414,1.0131,0.0,NORMAL,100,20.8,
12:49:26.552,1.0155,0.0,NORMAL,100,20.8,
12:49:26.687,1.0115,0.0,NORMAL,100,20.8,
12:49:26.843,1.0067,0.0,NORMAL,100,20.8,
12:49:26.983,1.0048,0.0,NORMAL,100,20.8,
12:49:27.122,1.0098,0.0,NORMAL,100,20.8,
12:49:27.254,1.0098,0.0,NORMAL,100,20.8,
12:49:27.392,1.0062,0.0,NORMAL,100,20.7,
12:49:27.524,1.0091,0.0,NORMAL,100,20.7,
12:49:27.661,1.0086,0.0,NORMAL,100,20.8,
12:49:27.791,1.0017,0.0,NORMAL,100,20.8,
12:49:27.926,1.0129,0.0,NORMAL,100,20.8,
12:49:28.072,1.0089,0.0,NORMAL,100,20.8,
12:49:28.243,1.0225,0.0,NORMAL,100,20.9,
12:49:28.426,1.0018,0.0,NORMAL,100,20.8,
12:49:28.610,1.0133,0.0,NORMAL,100,20.8,
12:49:28.784,1.0006,0.0,NORMAL,100,20.8,
12:49:28.958,1.0007,0.0,NORMAL,100,20.8,
12:49:29.140,1.0029,0.0,NORMAL,100,20.8,
12:49:29.316,1.0073,0.0,NORMAL,100,20.8,
12:49:29.494,1.0024,0.0,NORMAL,100,20.8,
12:49:29.656,1.001,0.0,NORMAL,100,20.7,
12:49:29.837,1.0086,0.0,NORMAL,100,20.8,
12:49:30.011,1.019,0.0,NORMAL,100,20.8,
12:49:30.180,1.0019,0.0,NORMAL,100,20.8,
12:49:30.356,1.0067,0.0,NORMAL,100,20.8,
12:49:30.532,1.0016,0.0,NORMAL,100,20.8,
12:49:30.699,1.0025,0.0,NORMAL,100,20.8,
12:49:30.878,1.0026,0.0,NORMAL,100,20.8,
12:49:31.050,1.0104,0.0,NORMAL,100,20.8,
12:49:31.221,1.0099,0.0,NORMAL,100,20.7,
12:49:31.391,1.0027,0.0,NORMAL,100,20.7,
12:49:31.570,1.0142,0.0,NORMAL,100,20.8,
12:49:31.744,1.0014,0.0,NORMAL,100,20.8,
12:49:31.922,1.0006,0.0,NORMAL,100,20.8,
12:49:32.099,1.0025,0.0,NORMAL,100,20.8,
12:49:32.263,1.0079,0.0,NORMAL,100,20.8,
12:49:32.449,1.0053,0.0,NORMAL,100,20.8,
12:49:32.626,1.0013,0.0,NORMAL,100,20.8,
12:49:32.793,1.0097,0.0,NORMAL,100,20.8,
12:49:32.965,1.0229,0.0,NORMAL,100,20.8,
12:49:33.132,1.01,0.0,NORMAL,100,20.8,
12:49:33.306,1.0132,0.0,NORMAL,100,20.7,
12:49:33.472,1.0081,0.0,NORMAL,100,20.8,
12:49:33.645,1.0092,0.0,NORMAL,100,20.8,
12:49:33.820,1.0116,0.0,NORMAL,100,20.8,
12:49:33.997,1.0079,0.0,NORMAL,100,20.8,
12:49:34.170,1.0055,0.0,NORMAL,100,20.8,
12:49:34.344,1.0096,0.0,NORMAL,100,20.8,
12:49:34.527,1.0046,0.0,NORMAL,100,20.8,
12:49:34.708,1.0086,0.0,NORMAL,100,20.8,
12:49:34.888,1.0198,0.0,NORMAL,100,20.8,
12:49:35.060,1.0091,0.0,NORMAL,100,20.3,
12:49:35.230,1.0106,0.0,NORMAL,100,20.2,
12:49:35.393,1.0122,0.0,NORMAL,100,20.2,
12:49:35.563,1.02,0.0,NORMAL,100,20.3,
12:49:35.751,1.016,0.0,NORMAL,100,20.1,
12:49:35.933,1.0172,0.0,NORMAL,100,19.6,
12:49:36.147,1.0137,0.0,NORMAL,100,19.6,
12:49:36.333,1.0156,0.0,NORMAL,100,20.6,
12:49:36.503,1.0032,0.0,NORMAL,100,20.3,
12:49:36.676,1.0111,0.0,NORMAL,100,19.6,
12:49:36.846,1.0155,0.0,NORMAL,100,20.2,
12:49:37.013,1.0076,0.0,NORMAL,100,20.4,
12:49:37.189,1.0044,0.0,NORMAL,100,19.1,
12:49:37.365,1.0118,0.0,NORMAL,100,20.4,
12:49:37.530,1.0106,0.0,NORMAL,100,19.9,
12:49:37.707,1.021,0.0,NORMAL,100,19.8,
12:49:37.884,1.0036,0.0,NORMAL,100,18.8,
12:49:38.081,1.4818,0.0,NORMAL,100,20.1,
12:49:38.245,1.0841,0.0,NORMAL,100,19.0,
12:49:38.412,1.0631,0.0,NORMAL,100,18.9,
12:49:38.573,1.065,0.0,NORMAL,100,19.8,
12:49:38.742,1.0323,0.0,NORMAL,100,20.1,
12:49:38.924,1.0459,0.0,NORMAL,100,20.6,
12:49:39.096,1.0299,0.0,NORMAL,100,19.7,
12:49:39.259,1.0144,0.0,NORMAL,100,19.7,
12:49:39.423,1.0288,0.0,NORMAL,100,19.7,
12:49:39.596,1.0153,0.0,NORMAL,100,19.7,
12:49:39.767,1.0219,0.0,NORMAL,100,19.7,
12:49:39.930,1.0109,0.0,NORMAL,100,18.6,
12:49:40.094,1.0258,0.0,NORMAL,100,20.0,
12:49:40.269,1.023,0.0,NORMAL,100,20.4,
12:49:40.452,1.0008,0.0,NORMAL,100,19.0,
12:49:40.637,1.0022,0.0,NORMAL,100,18.5,
12:49:40.846,1.0002,0.0,NORMAL,100,18.8,
12:49:41.043,1.004,0.0,NORMAL,100,18.1,
12:49:41.248,1.0069,0.0,NORMAL,100,17.8,
12:49:41.444,1.0085,0.0,NORMAL,100,18.0,
12:49:41.644,1.0031,0.0,NORMAL,100,19.0,
12:49:41.817,1.02,0.0,NORMAL,100,19.8,
12:49:42.010,1.0217,0.0,NORMAL,100,20.5,
12:49:42.211,1.012,0.0,NORMAL,100,19.9,
12:49:42.402,1.0027,0.0,NORMAL,100,18.5,
12:49:42.614,1.0038,0.0,NORMAL,100,18.5,
12:49:42.796,1.0022,0.0,NORMAL,100,18.5,
12:49:43.036,1.0012,0.0,NORMAL,100,18.5,
12:49:43.323,1.0178,0.0,NORMAL,100,18.6,
12:49:43.553,1.0047,0.0,NORMAL,100,18.5,
12:49:43.785,1.0042,0.0,NORMAL,100,18.1,
12:49:44.021,1.0095,0.0,NORMAL,100,17.8,
12:49:44.232,1.0063,0.0,NORMAL,100,18.1,
12:49:44.525,1.0176,0.0,NORMAL,100,20.0,
12:49:44.741,1.0072,0.0,NORMAL,100,19.4,
12:49:44.950,1.0071,0.0,NORMAL,100,19.0,
12:49:45.166,1.0183,0.0,NORMAL,100,19.5,
12:49:45.369,1.0039,0.0,NORMAL,100,20.1,
12:49:45.590,1.0128,0.0,NORMAL,100,19.8,
12:49:45.789,1.0134,0.0,NORMAL,100,20.8,
12:49:46.001,1.0046,0.0,NORMAL,100,20.1,
12:49:46.182,1.0099,0.0,NORMAL,100,19.5,
12:49:46.383,1.0081,0.0,NORMAL,100,19.5,
12:49:46.581,1.0067,0.0,NORMAL,100,19.6,
12:49:46.803,1.0208,0.0,NORMAL,100,20.6,
12:49:47.043,1.0009,0.0,NORMAL,100,20.8,
12:49:47.271,1.0012,0.0,NORMAL,100,20.5,
12:49:47.515,1.0038,0.0,NORMAL,100,20.4,
12:49:47.738,1.0141,0.0,NORMAL,100,20.6,
12:49:47.955,1.0023,0.0,NORMAL,100,20.4,
12:49:48.154,1.0159,0.0,NORMAL,100,20.6,
12:49:48.382,1.0022,0.0,NORMAL,100,20.5,
12:49:48.612,1.0031,0.0,NORMAL,100,20.6,
12:49:48.797,1.0031,0.0,NORMAL,100,20.7,
12:49:48.969,1.003,0.0,NORMAL,100,20.9,
12:49:49.169,1.0071,0.0,NORMAL,100,20.6,
12:49:49.416,1.0063,0.0,NORMAL,100,20.9,
12:49:49.599,1.0097,0.0,NORMAL,100,19.9,
12:49:49.786,1.0089,0.0,NORMAL,100,18.1,
12:49:49.975,1.0014,0.0,NORMAL,100,19.5,
12:49:50.152,1.0145,0.0,NORMAL,100,19.5,
12:49:50.347,1.0094,0.0,NORMAL,100,19.5,
12:49:50.548,1.0111,0.0,NORMAL,100,19.5,
12:49:50.746,1.0216,0.0,NORMAL,100,19.6,
12:49:50.923,1.0129,0.0,NORMAL,100,19.5,
12:49:51.098,1.0003,0.0,NORMAL,100,19.5,
12:49:51.304,1.0069,0.0,NORMAL,100,19.5,
12:49:51.499,1.0023,0.0,NORMAL,100,0.0,
12:49:51.696,1.006,0.0,NORMAL,100,0.0,
12:49:51.899,1.0067,0.0,NORMAL,100,0.0,
